Name;Description;Requirements;Cooldown;Slots;Range;Sets;Stat;School Image;School;Ap;Sp;Image
Acid Infusion;Change Incarnate's element to acid, unlocking Poison Dart and Acid Spores.;"Requires Summoning 2
Requires Geomancer 2";3;2 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-15-14.png
Cursed Electric Infusion;Change Incarnate's element to cursed electricity, unlocking Electric Discharge and Closed Circuit.;"Requires Summoning 2
Requires Aerotheurge 2";3;2 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-16.png
Summon Cat Familiar;Summon a black cat by your side.;;6;1 Memory;"Range 13m
Duration 10 turns";;The stats of the summon will depend on caster level and Summoning ability..;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-11-30.png
Summon Condor;Summons a condor that will aid you in combat.;;6;1 Memory;"Range 13m
Duration 10 turn(s)";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-16-11.png
Summon Dragonling;Summons a newt to help you in combat.;;6;2  Memory;"Range 13m
Duration 5 turn(s)";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-18-7.png
Battering Ram;Rush forward in a straight line, to a designated point, hitting all enemies in your path for 50% damage and setting Knockdown.;"Requires Warfare 1
Requires a Melee Weapon";5;1 Memory;Range 12m;Set Knocked Down for 1 turn(s).;Damage is based on your basic attack and receives a bonus from [Weapon Attribute].;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_battering_ram-icon.png
Battle Stomp;Smash your weapon into the ground, knocking down non-allied characters in front of you, and hitting them for 60% damage. Also clears non-cursed surfaces and clouds.;"Requires Warfare 1
Requires a Melee Weapon";4;1 Memory;Range 10m;Set Knocked Down for 1 turn(s).;Damage is based on your basic attack and receives a bonus from [Weapon Attribute].;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_battle_stomp-icon.png
Crippling Blow;Cripple the target with a sweeping blow, and all characters around it. Deals 115% damage.;"Requires Warfare 1
Requires a Melee Weapon";3;1 Memory;Range 3m;Set Crippled for 1 turn(s).;Damage is based on your basic attack and receives a bonus from [Weapon Attribute].;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_crippling_blow-icon.png
Enrage;Motivate an allied character with the power of rage. Target allied character is guaranteed to land critical hits with basic attacks and weapon skills, but is muted. Clears Taunted, Terrified, Charmed, Mad and Clear-Minded statuses.;Requires Warfare 2;5;1 Memory;Range 2m;Set Enraged for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_enrage-icon.png
Whirlwind;Perform a whirlwind attack, hitting enemies around you for 100% damage.;"Requires Warfare 2
Requires a Melee Weapon";3;1 Memory;Range 4.5m;;Damage is based on your basic attack and receives a bonus from stat of equipped weapon.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_whirlwind-icon.png
Blitz Attack;Jump from one target to another, hitting up to 2 targets, dealing 70% damage to each. Targets are chosen randomly in a 10m radius.;"Requires Warfare 2
Requires a Melee Weapon";3;1 Memory;Range 8m;;Damage is based on your basic attack and receives a bonus from [Weapon Attribute].;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_blitz_attack-icon.png
Phoenix Dive;Leap through the air to a target position, creating a fire surface upon landing.;Requires Warfare 2;4;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_phoenix_dive-icon.png
Overpower;Deals 150% damage. If your Physical Armour is higher than your opponent's, destroy all their Physical Armour. Can set Knocked Down.;"Requires Warfare 5
Requires a Melee Weapon";3;3 Memory;Range 3m;Set Knocked Down for 1 turn(s).;Damage is based on your basic attack and receives a bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_overpower-icon.png
Thick of the fight;The more the merrier! Gain a damage boost for every nearby character.;Requires Warfare 3;4;2 Memory;Range 8m;Set Thick of the Fight for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_thick_of_the_fight-icon.png
Guardian Angel;Allies in melee range redirect 50% of received damage to you.;Requires Warfare 3;6;1 Memory;Range 3m;Set Guardian Angel Aura for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_guardian_angel-icon.png
Provoke;Taunt the enemies around you. Provoke and tease them so that they want to attack you.;Requires Warfare 2;3;1 Memory;Range 8m;Set Taunted for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-5-5.png
Bouncing Shield;Throw your shield at an enemy dealing 70% Physical Damage. Shield can bounce to another enemy in 5m range.;"Requires Warfare 1
Requires a Shield";2;1 Memory;Range 13m;;Damage is based on the Physical Armour of your shield.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-14-23.png
Onslaught;Attack five times with astonishing speed, each hit dealing 60% damage.;"Requires Warfare 3
Requires a Melee Weapon";6;2 Memory;Range 2.5m;;Damage is based on your basic attack and receives a bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;4;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-16-0.png
Challenge;Mark target enemy. If they die in the next 2 turns, you are healed and receive damage and armour bonuses. If target survives, their Vitality is healed to full and caster receives damage.;Requires Warfare 3;5;1 Memory;Range 13m;Set Challenge to target for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_challenge-icon.png
Deflective Barrier;Projectiles that hit you are reflected back at the caster. This does not prevent the original projectile effects. Provides [X]Physical Armour .;"Requires Warfare 2
Requires a Shield";5;1 Memory;Range --;Set Deflecting for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-skills-s.png;Warfare;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare_deflective_barrier-icon.png
Bless;Bless target character or surface.;;3;1 Memory;Range 13m;Set Blessed for 2 turn(s).;;;Sourcery;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/bless-icon.png
Source Vampirism;Consume a corpse to gain a Source Point, or steal a Source Point from a living character.;;2;0 Memory;Range 6m;Set Drain.;;;Sourcery;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/source_vampirism-icon.png
Curse;Curse target character or surface.;;3;1 Memory;Range 13m;Set Cursed for 2 turn(s).;;;Sourcery;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/curse-icon.png
Spirit Vision;Your eyes pierce the veil of the Hall of Echoes.;;0;0 Memory;Range 13m;Set Spirit Visioned for 10 turn(s).;;;Sourcery;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/source_spirit_vision-icon.png
Charm Voidwoken;Charm target voidwoken, causing them to join your side in combat for the duration of the status.;;5;1 Memory;Range 13m;Set Charmed for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-skills-s.png;Summoning;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning-18-6.png
Flesh Sacrifice;Gain 1 Action Point immediately and a 10% damage boost for 2 turns at the cost of -[X] Constitution. Any Action Points over your maximum are lost.;;5;0 Memory;Range --;Set Flesh Sacrifice for 2 turn(s).;;;Special;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/flesh_sacrifice-icon.png
Encourage;Encourage allies around you, increasing their primary attributes.;;6;0 Memory;Range 13m;Set Enouraged for 3 turn(s).;;;Special;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/warfare-4-29.png
Dragon's Blaze;Breathes flames in a cone, dealing [X] Fire damage and leaves fire behind.;;3;0 Memory;"Range 7m
30° angle";Set Burning for 2 turn(s).;Damage is based on your level;;Special;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/dragons_blaze-icon.png
Play Dead;"Fool enemies into thinking you're dead. Cooldown of skills will be paused. Any action you take will cancel this status.
Does not break Invisibility or Sneaking.";;6;0 Memory;Range --;Set Playing Dead for 3 turn(s).;;;Special;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-15-20.png
Petrifying Touch;Turn a nearby target to stone, incapacitating it. Deal [X] Earth damage. Removes Bleeding, Burning, Poisoned and Crippled.;;4;0 Memory;Range 2m;Set Petrified for 1 turn(s).;Damage is based on your level;;Special;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_petrifying_touch-icon.png
Dome of Protection;Create a magical field that restores Magic and Physical Armour and increases elemental resistances on allies in the area.;;6;0 Memory;"Duration 5 turns
Range 13m";;;;Special;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summoning_circle_of_protection-icon.png
Summon Ifan's Soul Wolf;Summons your trusty Soul Wolf, which can Howl and Bite enemies.;;6;0 Memory;"Duration 10 turn
Range 15m";;The stats of the summons will depend on caster level and Summoning ability.;;Special;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/summon_soul_wolf-icon.png
Maddening Song;Sing, causing characters in your target area to become Mad. Maddened characters will attack those nearest them, regardless of alignment.;;5;0 Memory;"Range 13m
Radius 5m";Set Mad for 1 turn(s).;;;Special;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/maddening_song-icon.png
Demonic Stare;Drain [X] Magical Armour  from target character and gain that amount yourself.;;3;0 Memory;Range 7m;;Damage is based on your level;;Special;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/demonic_stare-icon.png
Break the Shackles;Remove the following negative status effects from yourself: Slowed,  Crippled, Chilled, Shocked, Suffocating, Atrophy, Diseased, Infectious Diseased, Silence, Plagued and Shackles of Pain.;;2;0 Memory;Range --;;;;Special;0;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/break_the_shackles-icon.png
Blinding Squall;A storm approaches and strong winds rise. They Blind and deal [X] Air damage to characters in the target area.;;5;0 Memory;"Range 13m
Radius 5m";Set Blinded for 1 turn(s).;Damage is based on your level;;Special;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/blinding_squall-icon.png
Time Warp;Target a character. Whenever this character ends a turn in combat, they immediately get a free turn.;;3;0 Memory;Range --;;;;Special;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/time_warp-icon.png
Sucker Punch;An unexpected blow, that deals [X] physical damage and knocks down target.;;3;0 Memory;Range 2m;Set Knocked Down for 1 turn(s).;Damage is based on your basic attack and receives a bonus from Strength.;;Special;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/sucker_punch-icon.png
Shields Up;Restore the Physical Armour  and Magical Armour  of your shield;Requires a Shield;3;0 Memory;Range --;;;;Special;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/recover_armour-icon.png
Deafening Shriek;Remove [X-Y] Magic Armour from enemies around you and set Deaf, reducing Wits, Accuracy and Dodging.;;4;1 Memory;Radius 8m;"Set Deaf for 2 turn(s)
 Range 8m radius";Damage is based on your level;;Special;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-18-0.png
